,Tweets,Cluster
0,Morto há mais de 20 anos voltou para votar no lula. Consta no site que ele votou.,negative
1,"JAIR MESSIAS BOLSONARO, REELEITO 

DEIXE SEU AMÉM BEM FORTE!",negative
2,"Quantos covardes têm seu lugar na história? Nenhum. À história, apenas a glória dos corajosos e aos traidores, a infâmia. Geralmente, um traidor se vende, a preço que valha sua dignidade e honradez, por quase nada. Bolsonaro não está só. Ele tem a nós. E coragem não nos falta.",negative
3,"Segue o fio  

A equipe de transição do Presidente Lula é uma das mais baratas de toda a história: são 269 voluntários e apenas 14 pessoas remuneradas, enquanto a do Bolsonaro teve 22 pessoas mamando no dinheiro público!",negative
4,"ATENÇÃO hoje 26/11/22. 
Veja o vídeo onde General MOURÃO 
Fala à BOLSONARO, no palanque do evento da Academia dos Agulhas Negras.  Primeiro fala:
""Vai lá com o povo..."" e depois
""Vai lá abre o jogo.... 
Bolsonaro responde não, com a cabeça.",negative
5,"Que babaca, não precisava nem falar que é Bolsonaro, nós acampamento oferecemos comidas a todos que tem fone desde que seja educado.
Somos pessoas de paz e de bem.",negative
6,"É isso aí amigos! Estamos juntos Presidente Bolsonaro! Lute por seu povo! Deus no comando! SOS Forças Armadas, o povo brasileiro confia em vocês! Deus, salve a nação brasileira, Deus salve o seu povo! ",negative
7,"É isso aí amigos! Estamos juntos Presidente Bolsonaro! Lute por seu povo! Deus no comando! SOS Forças Armadas, o povo brasileiro confia em vocês! Deus, salve a nação brasileira, Deus salve o seu povo! ",negative
8,"É isso aí amigos! Estamos juntos Presidente Bolsonaro! Lute por seu povo! Deus no comando! SOS Forças Armadas, o povo brasileiro confia em vocês! Deus, salve a nação brasileira, Deus salve o seu povo! ",negative
9,"O Consórcio sentiu o baque e saiu em defesa das urnas e também de Alexandre de Moraes, todos com o mesmo discurso de golpe e tals, chora pois no segundo turno foi Bolsonaro 51%.

Queremos transparência, se o TSE não quer é que deve.
#BolsonaroReeleito",negative
10,"O Consórcio sentiu o baque e saiu em defesa das urnas e também de Alexandre de Moraes, todos com o mesmo discurso de golpe e tals, chora pois no segundo turno foi Bolsonaro 51%.

Queremos transparência, se o TSE não quer é que deve.
#BolsonaroReeleito",negative
11,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
12,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
13,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
14,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
15,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
16,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
17,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
18,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
19,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
20,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
21,Bolsonaro quebrou protocolo e vai até a multidão!,neutral
22,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
23,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
24,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
25,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
26,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
27,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
28,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
29,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
30,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
31,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
32,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
33,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
34,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
35,"“Nunca abandonarei, o povo brasileiro para o qual devo lealdade absoluta!”

Jair Messias Bolsonaro22

Deus, família e pátria",positive
36,"Moro condenou Lula a 9 anos de prisão por que o Lula tem 9 dedos. Alexandre de Moraes condenou o partido do Bolsonaro a pagar 22 milhões, mesmo número do partido do Bolsonaro. O mundo dá voltas. Só que o Lula provou que foi perseguido, já o partido do Bolsonaro é golpista mesmo.",negative
37,"Moro condenou Lula a 9 anos de prisão por que o Lula tem 9 dedos. Alexandre de Moraes condenou o partido do Bolsonaro a pagar 22 milhões, mesmo número do partido do Bolsonaro. O mundo dá voltas. Só que o Lula provou que foi perseguido, já o partido do Bolsonaro é golpista mesmo.",negative
38,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
39,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
40,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
41,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
42,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
43,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
44,Indios protocolaram em  22/11 no Ministério da Justiça para que a ONU tome providências sobre o sumiço dos votos dos índios em Bolsonaro.,negative
45,"Bolsonaro esperava: 22 eleito

Recebeu: 22 milhões de multa",negative
46,Boa noite,negative
47,"Natal 22/11/2022 
Vamos continuar firmes aqui de frente ao quartel. 
#SOSFORCASARMADAS 
#vempraruabrasil",negative
48,"Mais um dia na luta , sem desistir sábado também é dia de guerrear ",negative
49,"O despertar da nação, veio através de um homem! O nome dele é JAIR MESSIAS BOLSONARO!

Deus nunca falha. 

Não parem!!!! ",negative
50,"PL VAI PAGAR SOZINHO A MULTA e continua com o Fundo Partidário bloqueado. 

É 22 confirma  ",negative
51,"Xandão é bem sádico, não é que multou o PL de Valdemar e Bolsonaro, em (22) vinte e dois milhões de reais, pela fraude da tal auditoria, que apontou erro em 60% das urnas eleitorais, e pela frustrada tentativa de golpe. Só faltou determinar cadeia para esses dois safados...",negative
52,Políticos no Brasil kkkkkk,negative
53,"SANTOS E SÃO VICENTE  !!!

EM FRENTE AO  2⁰ BATALHÃO DE INFANTARIA 
LEVE

BRASIL , 26 / 11 / 22",negative
54,"Acabo de fazer uma breve pesquisa hoje, 24/11/22....., para saber a quantas anda a narrativa da esquerda no que respeita ao tema das AGLOMERAÇÕES, que ela pretende usar para tentar impedir o POVO de se concentrar na frente dos Quartéis. 
 

TODOS DIANTE DOS QUARTÉIS!",negative
55,"Não pode ser diplomado. 
Bolsonaro não se pronunciou sobre o resultados das urnas. 
Tic tac tic tac.....",negative
56,Agora vai ou vai !!!,negative
57," URGENTE: NEYMAR DIZ PRA VALDEMAR FAZER O 22 KKKKKKK

E DEPOIS PAGAR OS 22 MILHÕES",negative
58,"A “brincadeira” do PL contra a democracia custou caro não só para o partido como para a coligação que apoiou o candidato derrotado: R$ 22,9 milhões. Bolsonaro e Valdemar Costa Neto saem desmoralizados desta eleição.

Confira a análise de 
@renato_rovai
: https://youtu.be/t2M3r3ZrE4E",negative
59,Denúncia grave!,negative
