,Tweets,Cluster
0,"""Pode-se divergir de algumas atitudes, algumas palavras, mas não se pode acusá-lo de agir contra a ordem democrática. E aí está a 1ª e grande diferença entre ele e Lula: se for ele o eleito, teremos eleições daqui a 4 anos; se, inversamente, for Lula, não saberemos"" Reginaldo C.",negative
1,"O kg do pimentão VERDE custando 11 conto e vcs discutindo eleição de 2026 a mas vai se f*der né? A ansiosa sou eu e VOCÊS discutindo essas coisas? Meu bem eu quero é q Lula seja eleito no domingo pra AÍ SIM eu sonhar em eleições democráticas em 2026. Parem de viajar, porraaaaaaa",negative
2,Cala boca Zema fez campanha com Lula aí teu http://lado.Me pergunto:Por que não colocou o tal coisoskkk,negative
3,"Agora, não se trata mais de PT, AGORA É ACABAR C O GOVERNO BOLSONARO e NÃO DEIXAR O TARCÍSIO E O BOLSONARISMO DESTRUÍREM  SP.  Façam OPOSIÇÃO  ao PT no dia seguinte às  eleições",negative
4,"Alckmin promete porta aberta na Vice-Presidência a prefeitos se Lula vencer
#Eleições #Eleições2022 #GeraldoAlckmin",positive
5,"Lula diz que vai retomar obras do PAC e reafirma que só indicará cargos após as eleições: ""pode acontecer a partir de domingo"" - Brasil 247",positive
6,"pq ele sabe q em 2026 a família bolsonaro estará totalmente fora das eleições, ou até mesmo pr3s0s",positive
7,"Então você está precisando voltar pro ensino fundamental.

Atlas: 

Lula: 50,3%
urna: 48,43%
diferença: 1,87%
Bolso: 41,10%
urna: 43,20
diferença: 2,10

soma do erro = 3,97% 

Paraná: 

L: 47,1%
urna: 48,43%
diferença: 1,33%
B: 40%
urna: 43,20%
diferença: 3,20%

soma = 4,53%",positive
8,"Até na prisão já chegou a notícia que o Bolsonaro virou as eleições.

Não podemos deixar que eles nos derrubem, temos que defender a democracia

Dia 30 é , pelo bem do Brasil ",negative
9,"Lula diz que vai retomar obras do PAC e reafirma que só indicará cargos após as eleições: ""pode acontecer a partir de domingo""",positive
10,TSE suspende site dos 'fiscais' de Bolsonaro nas eleições,positive
11,"Temos um PM q não  interfere nas eleições no Brasil, mas temos o secretário geral do PS q Apoia Lula . Pergunto o seguinte :alguém q seja honesto apoia lula? Alguém acredita que o PM institucionalmente despe a camisola de secretário geral do PS?",negative
12,"Bolsonaro Stalls in Polls After Ally Roberto Jefferson Clashes With Police

#politics #brazil #BrazilianPolitics #eleições #eleições2022 #BrazilianPolitics 
https://bloomberg.com/news/articles/2022-10-24/bolsonaro-stalls-in-poll-as-associate-s-violence-shakes-brazil… by 
@andrewrosati
 @danielcarvalho_
 via 
@Bloomberg",positive
13,"Por essa e outras o ""sistema"" não quer que o Bolsonaro vença essas eleições, porque com o congresso renovado graças a Deus e ao povo, não ficara um desses canalhas para contar historia.",negative
14,"Se ele realmente amasse o país ele não teria se candidatado nessas eleições, pq infelizmente tem mais gente que odeia ele (lula/pt) do que odeia o bozonaro, maaaaaas quem seguiria capaz de vencer esse montro? Foda, bora lulinhaaa",negative
15,"Não seja tão pessimista com a questão das eleições, espero que o Bolsonaro ganhe, além que sabemos que o bem smepre vence o mau.",negative
